institution_code,program_code,career_slug,career_points,evidence_level,explanation,source_title,source_url,official_program_url,reviewed_at,active
BMCC,DS_AS,data-analyst,50,strong,"The Data Science A.S. combines data, computing, statistics, programming, and analysis; BMCC explicitly identifies analyst careers in data, business, and finance.",BMCC Data Science program and career announcement,https://www.bmcc.cuny.edu/news/math-departments-new-data-science-program-prepares-graduates-for-high-demand-careers-in-science-business-and-more/,https://www.bmcc.cuny.edu/academics/departments/math/data-science/,2026-08-21,true
BMCC,CS,data-analyst,44,related,"Computer Science builds programming and computational problem-solving foundations used in analytic roles; BMCC lists business-intelligence and data-warehousing careers for this program.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CIS,data-analyst,38,exploratory,"Computer Information Systems emphasizes analysis and design of business information systems and includes database coursework, making it an advisor-guided applied technology option.",BMCC Computer Information Systems A.A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-information-systems-cis/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-information-systems-cis/,2026-08-21,true
BMCC,CS,computer-information-systems-manager,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,computer-systems-analyst,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,information-security-analyst,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,computer-programmer,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,software-developer,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,software-quality-assurance-analyst,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,web-developer,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
